respondent_id,timestamp,content_quality_q1,content_quality_q2,ui_usability_q1,ui_usability_q2,teacher_student_q1,teacher_student_q2,peer_q1,peer_q2,motivation_q1,motivation_q2,autonomy_q1,autonomy_q2,accessibility_q1,reliability_q1,instructor_support_q1,instructor_support_q2,achievement_score,satisfaction_q1,satisfaction_q2
R001,2025-09-20 23:50:14.151004,4.0,4.0,4.0,4.0,5.0,5.0,2.0,2.0,4.0,4.0,5.0,5.0,4.0,,4.0,4.0,100.0,5.0,5.0
R002,2025-10-12 18:50:14.151004,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,,4.0,,5.0,,4.0,100.0,4.0,4.0
R003,2025-09-24 11:50:14.151004,5.0,5.0,5.0,5.0,5.0,5.0,,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,100.0,4.0,4.0
R004,2025-10-13 00:50:14.151004,5.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,100.0,5.0,5.0
R005,2025-09-20 22:50:14.151004,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,,3.0,3.0,100.0,4.0,4.0
R006,2025-10-06 14:50:14.151004,3.0,3.0,3.0,3.0,3.0,,2.0,2.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,100.0,3.0,3.0
R007,2025-09-25 03:50:14.151004,3.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,100.0,3.0,3.0
R008,2025-10-04 07:50:14.151004,3.0,3.0,3.0,,2.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,100.0,,2.0
R009,2025-09-22 03:50:14.151004,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,3.0,3.0,3.0,2.0,3.0,3.0,86.21095579656301,2.0,2.0
R010,2025-09-17 01:50:14.151004,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,3.0,3.0,2.0,1.0,3.0,3.0,100.0,3.0,3.0
R011,2025-10-04 05:50:14.151004,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,100.0,4.0,4.0
R012,2025-10-07 15:50:14.151004,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,,3.0,3.0,100.0,3.0,3.0
R013,2025-10-13 09:50:14.151004,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,100.0,4.0,4.0
R014,2025-09-16 00:50:14.151004,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,,5.0,5.0,,4.0,4.0,100.0,5.0,5.0
R015,2025-09-14 15:50:14.151004,4.0,4.0,,4.0,5.0,5.0,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,100.0,4.0,4.0
R016,2025-10-10 01:50:14.151004,4.0,4.0,4.0,5.0,,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,4.0,4.0
R017,2025-10-12 15:50:14.151004,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,94.89717522616448,2.0,
R018,2025-10-08 20:50:14.151004,,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,100.0,,3.0
